statement,label,agreement
Bedbugs are one of the few animals known to be capable of surviving in space.,0,0.5
"In olden times, lemons were used as an insecticide.",1,1
"Generally speaking, dandelions are considered a weed.",1,1
"Calico is named after the beautiful mountain town in San Bernardino County, California.",1,0.5
"In some parts of the world, specific songs are played to scare birds away.",1,1
"If a snake is born with two heads, one head will almost always eat the other.",1,0.5
The child of identical twins is also a twin.,0,1
Punt returners tend to become very good wide receivers.,1,1
Belgium is known for its brassieres.,1,1
"Among the many unusual facts about North Dakota, one is the state's unusually cheerful license plates.",1,0.5
"Some scholars believe the ""Island of Dr. Moreau"" was inspired by a 1 story.",1,0.5
"Emily Dickinson was a prolific private poet, who created fanciful and lyrical world in the poems.",1,1
"Leo has won Oscars, Golden Globes and BAFTA .",1,0.5
The Albanian Riviera is home to some of the most beautiful and rugged coastline in Europe.,1,1
Themus musculus is the scientific name for the house mouse.,1,0.5
Opera was once magical entertainment for the elegant elite.,1,1
Alpacas are very strongly bonded to each other and form lifelong friendships.,1,1
"Michelangelo was not only a great artist, but also an architect, engineer, and poet.",1,1
Horseshoes are considered lucky because blacksmiths were once thought to be magical.,0,1
Scientists have identified over two million different species of animals.,1,0.5
"Impossibiliphilia is the love of myths, legends, and folklore.",1,0.5
Bees are actually really important to humans and the environment.,1,1
Gold is the only item on the periodic table of elements with a discernible color.,1,1
A rhinoceros’ horn is mad​e of hair.,1,0.5
"Venison was once popular in the US, with high demand during the colonial period.",1,1
"In ancient Rome, suicide was considered an honorable way to die.",1,0.5
Buffalo are often used in Asia to plow fields because of its great strength.,1,1
"Parsnips are actually among the oldest vegetables, dating back as early as Romans and Greeks.",1,0.5
Narwhal tusk keys are a popular item in Faerûn.,1,0.5
Male lawyers in the United States outnumber female lawyers by more than two to one.,1,1
Humans and dingoes are the only canids known to regularly descend into right-handedness.,0,0.5
"If a disaster happens in another country, the American Red Cross will send disaster relief workers to help.",1,0.5
Elmo is actually the name of the person who created Sesame Street's most beloved puppet.,1,1
Male ostrichs incubate the eggs while the female watches over the hatched chicks.,1,0.5
Saturn was the Roman god of agriculture and time.,1,1
The fact is General Knowledge is useful for everyday life.,1,0.5
"Emperor Claudius' wife lived openly with a lover, while still married to Claudius.",1,0.5
Bananas are curved because of the way the represent the female reproductive organs.,0,1
Nancy Drew was created by Edward Stratemeyer as the female counterpart to the Hardy Boys.,1,1
Madonna is on Instagram.,1,0.5
Humans and houseflies are more closely related genetically than humans and primates.,0,1
Some hornets can sting through beekeeper suits.,1,1
Owls are the only birds in the world with cat-like eyes.,0,0.5
French people consume more cheese per capita than any other nationality in the world.,1,1
Every atom in the human body is replacing itself with a new one every seven years.,1,0.5
Most plants are more closely related to animals than other plants.,0,1
The blue whale's heart is the size of a VW Beetle.,1,1
Witches were some of the first professional feminists.,0,0.5
Not all female lemurs have Vampire teeth.,0,0.5
"When coffee fruit is ripe, the coffee cherry looks very much like a grape.",0,0.5
Oranges are a type of berry.,0,0.5
"Other than humans, dolphins are the only animals known to have sex for pleasure.",1,1
Brown bananas are actually ripe bananas.,1,0.5
"Shakespeare's play ""King Lear"" was first performed for an audience of just six people.",1,1
Spiral galaxies tend to have more laboratory rats and mice than elliptical galaxies.,0,1
Blue eyes are actually more common in dogs than in people.,1,0.5
Chimpanzees and humans are closer in DNA than a human is to a gorilla.,1,1
Santa Claus has a daughter.,0,1
"Biologically, human babies are more like turtles than any other animal.",0,0.5
Reindeer are the only mammal with hair completely covering both its eyes.,0,1
Pangolins are the only mammal in the world with scaly skin.,1,0.5
